,Code,Title,2020,2019
0,,資產Assets,,
1,,流動資產　Current assets,,
2,1100,現金及約當現金 Cash and cash equivalents,483825,1208477
3,1110,透過損益按公允價值衡量之金融資產－流動 Current financial assets at fair value through profit or loss,1370147,772676
4,1136,按攤銷後成本衡量之金融資產－流動 Current financial assets at amortised cost,744316,460154
5,1150,"應收票據淨額 Notes receivable, net",5146,11911
6,1170,"應收帳款淨額 Accounts receivable, net",207370,193840
7,1200,其他應收款 Other receivables,397631,24232
8,130X,存貨 Current inventories,79149,63621
9,1410,預付款項 Prepayments,46585,52325
10,1470,其他流動資產 Other current assets,39,65
11,11XX,流動資產合計 Total current assets,3334208,2787301
12,,非流動資產　Non-current assets,,
13,1517,透過其他綜合損益按公允價值衡量之金融資產－非流動 Non-current financial assets at fair value through other comprehensive income,500,500
14,1535,按攤銷後成本衡量之金融資產－非流動 Non-current financial assets at amortised cost,42817,40993
15,1550,採用權益法之投資 Investments accounted for using equity method,1036749,1086297
16,1600,"不動產、廠房及設備 Property, plant and equipment",2492767,2664508
17,1755,使用權資產 Right-of-use assets,3524081,3819177
18,1780,無形資產 Intangible assets,25423,23459
19,1840,遞延所得稅資產 Deferred tax assets,38761,47465
20,1900,其他非流動資產 Other non-current assets,459043,862499
21,15XX,非流動資產合計 Total non-current assets,7620141,8544898
22,1XXX,資產總計　Total assets,10954349,11332199
23,,負債及權益Liabilities and equity,,
24,,負債　Liabilities,,
25,,流動負債 Current liabilities,,
26,2100,短期借款 Current borrowings,35161,427053
27,2110,應付短期票券 Short-term notes and bills payable,0,50000
28,2130,合約負債－流動 Current contract liabilities,584061,529882
29,2150,應付票據 Notes payable,78094,10747
30,2170,應付帳款 Accounts payable,264707,268254
31,2200,其他應付款 Other payables,852997,889855
32,2230,本期所得稅負債 Current tax liabilities,136962,122032
33,2280,租賃負債－流動 Current lease liabilities,263963,260529
34,2300,其他流動負債 Other current liabilities,1400180,20441
35,21XX,流動負債合計 Total current liabilities,3616125,2578793
36,,非流動負債 Non-current liabilities,,
37,2527,合約負債－非流動 Non-current contract liabilities,10421,11687
38,2530,應付公司債 Bonds payable,0,1348292
39,2570,遞延所得稅負債 Deferred tax liabilities,6,16
40,2580,租賃負債－非流動 Non-current lease liabilities,3245907,3490551
41,2600,其他非流動負債 Other non-current liabilities,431862,344642
42,25XX,非流動負債合計 Total non-current liabilities,3688196,5195188
43,2XXX,負債總計 Total liabilities,7304321,7773981
44,,權益　Equity,,
45,,歸屬於母公司業主之權益 Equity attributable to owners of parent,,
46,,股本 Share capital,,
47,3110,普通股股本 Ordinary share,1274020,1274020
48,3100,股本合計 Total Share Capital,1274020,1274020
49,,資本公積 Capital surplus,,
50,3210,"資本公積－發行溢價 Capital surplus, additional paid-in capital",115409,115409
51,3272,"資本公積－認股權 Capital surplus, share options",106787,106787
52,3200,資本公積合計 Total capital surplus,222196,222196
53,,保留盈餘 Retained earnings,,
54,3310,法定盈餘公積 Legal reserve,1274020,1274020
55,3320,特別盈餘公積 Special reserve,214191,110832
56,3350,未分配盈餘（或待彌補虧損） Unappropriated retained earnings (accumulated deficit),658331,602852
57,3300,保留盈餘合計 Total retained earnings,2146542,1987704
58,,其他權益 Other equity interest,,
59,3410,國外營運機構財務報表換算之兌換差額 Exchange differences on translation of foreign financial statements,"(313,338)","(214,191)"
60,3400,其他權益合計 Total other equity interest,"(313,338)","(214,191)"
61,31XX,歸屬於母公司業主之權益合計 Total equity attributable to owners of parent,3329420,3269729
62,36XX,非控制權益 Non-controlling interests,320608,288489
63,3XXX,權益總額 Total equity,3650028,3558218
64,3X2X,負債及權益總計　Total liabilities and equity,10954349,11332199
65,3998,預收股款（權益項下）之約當發行股數　Equivalent issue shares of advance receipts for ordinary share,0,0
66,3999,母公司暨子公司所持有之母公司庫藏股股數（單位：股）　Number of shares in entity held by entity and by its subsidiaries,0,0
