,Code,Title,In2020,In2019
0,,"營業活動之現金流量－間接法Cash flows from (used in) operating activities, indirect method",,
1,A00010,繼續營業單位稅前淨利（淨損）　Profit (loss) from continuing operations before tax,881135,1630996
2,A10000,本期稅前淨利（淨損）　Profit (loss) before tax,881135,1630996
3,,調整項目　Adjustments,,
4,,收益費損項目 Adjustments to reconcile profit (loss),,
5,A20100,折舊費用 Depreciation expense,660070,715599
6,A20200,攤銷費用 Amortization expense,2130,12059
7,A20400,透過損益按公允價值衡量金融資產及負債之淨損失（利益） Net loss (gain) on financial assets or liabilities at fair value through profit or loss,"(12,902)","(54,865)"
8,A20900,利息費用 Interest expense,96000,100659
9,A21200,利息收入 Interest income,"(46,298)","(39,389)"
10,A22300,採用權益法認列之關聯企業及合資損失（利益）之份額 Share of loss (profit) of associates and joint ventures accounted for using equity method,"(9,231)","(11,375)"
11,A22500,"處分及報廢不動產、廠房及設備損失（利益） Loss (gain) on disposal of property, plan and equipment",(559),"(10,435)"
12,A22600,"不動產、廠房及設備轉列費用數 Property, plan and equipment transferred to expenses",22860,22999
13,A22700,處分投資性不動產損失（利益） Loss (gain) on disposal of investment properties,0,"(197,283)"
14,A24500,"逾期未領董監酬勞轉列其他收入 Other revenue, overdue compensation of board and directors","(8,195)",0
15,A29900,其他項目 Other adjustments to reconcile profit (loss),"(9,667)","(9,649)"
16,A20010,收益費損項目合計 Total adjustments to reconcile profit (loss),694208,528320
17,,與營業活動相關之資產／負債變動數 Changes in operating assets and liabilities,,
18,,與營業活動相關之資產之淨變動 Changes in operating assets,,
19,A31115,"強制透過損益按公允價值衡量之金融資產（增加）減少 Decrease (increase) in financial assets at fair value through profit or loss, mandatorily measured at fair value","(587,305)",291126
20,A31130,應收票據（增加）減少 Decrease (increase) in notes receivable,6765,17237
21,A31150,應收帳款（增加）減少 Decrease (increase) in accounts receivable,"(13,582)",70193
22,A31180,其他應收款（增加）減少 Decrease (increase) in other receivable,(857),1205
23,A31200,存貨（增加）減少 Adjustments for decrease (increase) in inventories,"(15,528)",9678
24,A31220,預付費用（增加）減少 Decrease (increase) in prepaid expenses,5643,9634
25,A31240,其他流動資產（增加）減少 Adjustments for decrease (increase) in other current assets,26,149
26,A31990,其他營業資產（增加）減少 Decrease (increase) in other operating assets,2128,685
27,A31000,與營業活動相關之資產之淨變動合計 Total changes in operating assets,"(602,710)",399907
28,,與營業活動相關之負債之淨變動 Changes in operating liabilities,,
29,A32125,合約負債增加（減少） Increase (decrease) in contract liabilities,52913,26834
30,A32130,應付票據增加（減少） Increase (decrease) in notes payable,28596,"(6,505)"
31,A32150,應付帳款增加（減少） Increase (decrease) in accounts payable,"(3,547)","(2,987)"
32,A32180,其他應付款增加（減少） Increase (decrease) in other payable,12294,100899
33,A32230,其他流動負債增加（減少） Adjustments for increase (decrease) in other current liabilities,8538,5522
34,A32240,淨確定福利負債增加(減少) Increase (decrease) in net defined benefit liability,"(6,298)","(22,297)"
35,A32990,其他營業負債增加（減少） Increase (decrease) in other operating liabilities,37785,"(1,906)"
36,A32000,與營業活動相關之負債之淨變動合計 Total changes in operating liabilities,130281,99560
37,A30000,與營業活動相關之資產及負債之淨變動合計 Total changes in operating assets and liabilities,"(472,429)",499467
38,A20000,調整項目合計 Total adjustments,221779,1027787
39,A33000,營運產生之現金流入（流出）　Cash inflow (outflow) generated from operations,1102914,2658783
40,A33100,收取之利息　Interest received,31455,24166
41,A33300,支付之利息　Interest paid,"(73,080)","(77,183)"
42,A33500,退還（支付）之所得稅　Income taxes refund (paid),"(41,882)","(253,691)"
43,AAAA,營業活動之淨現金流入（流出）Net cash flows from (used in) operating activities,1019407,2352075
44,,投資活動之現金流量Cash flows from (used in) investing activities,,
45,B00040,取得按攤銷後成本衡量之金融資產　Acquisition of financial assets at amortised cost,"(286,326)","(300,535)"
46,B02300,處分子公司　Proceeds from disposal of subsidiaries,0,"(4,855)"
47,B02700,"取得不動產、廠房及設備　Acquisition of property, plant and equipment","(246,207)","(257,763)"
48,B02800,"處分不動產、廠房及設備　Proceeds from disposal of property, plant and equipment",990,14401
49,B03700,存出保證金增加　Increase in refundable deposits,"(2,683)",(677)
50,B03800,存出保證金減少　Decrease in refundable deposits,2504,1161
51,B04500,取得無形資產　Acquisition of intangible assets,"(4,094)","(1,018)"
52,B05350,取得使用權資產　Acquisition of use-of-right assets,0,(148)
53,B05500,處分投資性不動產　Proceeds from disposal of investment properties,0,493329
54,B07100,預付設備款增加　Increase in prepayments for business facilities,"(4,752)","(3,019)"
55,BBBB,投資活動之淨現金流入（流出）　Net cash flows from (used in) investing activities,"(540,568)","(59,124)"
56,,籌資活動之現金流量Cash flows from (used in) financing activities,,
57,C00100,短期借款增加　Increase in short-term loans,0,427053
58,C00200,短期借款減少　Decrease in short-term loans,"(391,892)",0
59,C00500,應付短期票券增加　Increase in short-term notes and bills payable,0,50000
60,C00600,應付短期票券減少　Decrease in short-term notes and bills payable,"(50,000)",0
61,C03000,存入保證金增加　Increase in guarantee deposits received,12293,9554
62,C03100,存入保證金減少　Decrease in guarantee deposits received,"(17,152)","(15,377)"
63,C04020,租賃本金償還　Payments of lease liabilities,"(222,205)","(258,405)"
64,C04500,發放現金股利　Cash dividends paid,"(499,492)","(2,184,021)"
65,C05800,非控制權益變動　Change in non-controlling interests,"(40,339)","(7,908)"
66,CCCC,籌資活動之淨現金流入（流出）　Net cash flows from (used in) financing activities,"(1,208,787)","(1,979,104)"
67,DDDD,匯率變動對現金及約當現金之影響Effect of exchange rate changes on cash and cash equivalents,5296,"(1,956)"
68,EEEE,本期現金及約當現金增加（減少）數Net increase (decrease) in cash and cash equivalents,"(724,652)",311891
69,E00100,期初現金及約當現金餘額Cash and cash equivalents at beginning of period,1208477,896586
70,E00200,期末現金及約當現金餘額Cash and cash equivalents at end of period,483825,1208477
71,E00210,資產負債表帳列之現金及約當現金　Cash and cash equivalents reported in the statement of financial position,483825,1208477
